images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Fixation2.started,Fixation2.stopped,Trial2.started,Trial2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同位置及边数3.png,2,0,10,10,11,,,,,35.54126700013876,36.54367320006713,36.52679200004786,None,2,1,0.20386020001024008,1.0144773598294705,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及位置5.png,1,0,11,11,3,,,,,36.78226130013354,37.78715530014597,37.76961000007577,None,2,0,0.09734559990465641,1.0150799602270126,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数9.png,1,0,12,12,27,,,,,37.90322530013509,38.90731040015817,38.8904192999471,None,2,0,0.3696679000277072,1.0084508599247783,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及位置9.png,1,0,13,13,7,,,,,39.31191910011694,40.31455949996598,40.297705200035125,None,2,0,0.017293900018557906,1.012643959838897,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数8.png,1,0,14,14,26,,,,,40.353541400050744,41.35701070004143,41.33937980001792,None,2,0,0.11936510005034506,1.0165747597347945,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数1.png,1,0,15,15,19,,,,,41.5114440000616,42.515083600068465,42.498196500120685,None,2,0,0.03278449992649257,1.0162664600647986,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数5.png,1,0,16,16,23,,,,,42.569431100040674,43.57288029999472,43.55617760005407,None,2,0,0.03842479991726577,1.0176925600972027,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数6.png,1,0,17,17,24,,,,,43.64470209996216,44.644799100002274,44.62830240000039,None,2,0,0.15913249994628131,1.0145749601069838,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及位置10.png,2,0,18,18,8,,,,,44.83332820003852,45.83556170016527,45.81870190007612,None,2,1,0.08786050020717084,1.0137844600249082,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同位置及边数10.png,1,0,19,19,18,,,,,45.95683789998293,46.96005939994939,46.94317109999247,None,2,0,0.08489160006865859,1.0139162603300065,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同位置及边数6.png,2,0,20,20,14,,,,,47.06445310008712,48.07006200007163,48.05282580014318,None,2,1,0.14199719997122884,1.0141666599083692,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数10.png,2,0,21,21,28,,,,,48.2362860001158,49.236975100124255,49.2215255999472,None,2,1,0.11690450017340481,1.0101927602663636,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数7.png,2,0,22,22,25,,,,,49.374617600115016,50.37817659997381,50.361379500012845,None,2,1,0.049538399791345,1.0149965600576252,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同位置及边数7.png,1,0,23,23,15,,,,,50.450092300074175,51.45383929996751,51.436906800139695,None,2,0,0.1039871999528259,1.0182807601522654,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及位置4.png,1,0,24,24,2,,,,,51.59127850015648,52.61377890012227,52.59619620000012,None,2,0,0.07847679988481104,1.031145160086453,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数2.png,1,0,25,25,20,,,,,52.717398799955845,53.720872699981555,53.70406790007837,None,2,0,0.010632300050929189,1.014917960157618,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及位置3.png,2,0,26,26,1,,,,,53.75865119998343,54.763147900113836,54.74620219995268,None,2,1,0.23321330011822283,1.0152907599695027,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及边数3.png,2,0,27,27,21,,,,,55.01832849998027,56.021129300119355,56.00426420010626,None,2,1,0.06315300008282065,1.013775359839201,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同颜色及位置7.png,1,0,28,28,5,,,,,56.108739300165325,57.130379599984735,57.113627000013366,None,2,0,0.25704950001090765,1.0318231598939747,None,,,,,,,,,,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的奇偶规律 5.png,1,,,,,0,0,0,3,,,,,,,,,,57.41819740016945,58.419317099964246,58.419317099964246,None,1,1,0.12978220009244978,1.0141482600010931,None,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的数列规律 1.png,1,,,,,0,1,1,9,,,,,,,,,,58.591012600110844,59.59529080009088,59.57841990003362,None,2,0,3.416464600013569,1.0151334600523114,None,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的位置规律 3.png,2,,,,,0,2,2,21,,,,,,,,,,63.03583860001527,64.05752529995516,64.04075359995477,None,2,1,7.291163900168613,1.0354260599706322,None,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的奇偶规律 7.png,2,,,,,0,3,3,5,,,,,,,,,,71.38568600011058,72.39017489994876,72.37260630005039,80.37996809999458,None,0,,1.0158071601763368,9.023169560357928,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的位置规律 5.png,1,,,,,0,4,4,23,,,,,,,,,,80.41836709994823,81.42168170004152,81.38732900004834,89.39552270015702,None,0,,1.0020080597605556,9.010328059783205,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的数列规律 6.png,1,,,,,0,5,5,14,,,,,,,,,,89.43241000012495,90.43706470006146,90.43706470006146,None,1,1,1.3501780000515282,1.018117860192433,None,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
Task samples\相同的奇偶规律 9.png,2,,,,,0,6,6,7,,,,,,,,,,91.82618960016407,92.82930310000665,92.81236520013772,None,2,1,0.9902407999616116,1.0058806601446122,None,4,001,2021_Aug_10_1104,Demo,2021.2.1,60.2103147026458,
